Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,e
,,,,,,,,,,
,,Item,Category,Price,,,,,,
,,,,,,,,,,
,,Milk Tea,Beverages,50,,,,,,
,,Black Tea,Beverages,40,,,,,,
,,Lemon Tea,Beverages,70,,,,,,
,,Ginger Lemon Honey,Beverages,100,,,,,,
,,Mint Tea,Beverages,50,,,,,,
,,Milk Coffee,Beverages,70,,,,,,
,,Black Coffee,Beverages,50,,,,,,
,,Cold Coffee,Beverages,130,,,,,,
,,Frappe,Beverages,190,,,,,,
,,Sweet/Salted Lassi,Beverages,100,,,,,,
,,Lemon Water,Beverages,70,,,,,,
,,Lemon Soda,Beverages,100,,,,,,
,,Lemonade,Beverages,80,,,,,,
,,Kokum Sharbat,Beverages,180,,,,,,
,,Strawberry Mocktail,Beverages,190,,,,,,
,,Blueberry Mocktail,Beverages,190,,,,,,
,,Mango Mocktail,Beverages,190,,,,,,
,,Banana Shake,Beverages,130,,,,,,
,,Oreo Shake,Beverages,200,,,,,,
,,Kitkat Shake,Beverages,200,,,,,,
,,Club Soda,Beverages,30,,,,,,
,,Soft Drink 750 ML,Beverages,60,,,,,,
,,Water Bottle 1L,Beverages,30,,,,,,
,,Tomato Soup,Soups,150,,,,,,
,,Veg Manchow Soup,Soups,150,,,,,,
,,Cream of Mushroom,Soups,180,,,,,,
,,Sweet Corn,Soups,150,,,,,,
,,Veg Clear soup,Soups,160,,,,,,
,,Chicken Clear Soup,Soups,220,,,,,,
,,Chicken Manchow Soup,Soups,230,,,,,,
,,Masala Omlet,Breakfast,90,,,,,,
,,Bread Omlet,Breakfast,100,,,,,,
,,Mushroom Omlette,Breakfast,160,,,,,,
,,Cheese Omlet,Breakfast,150,,,,,,
,,Eggs (Boiled/Scrambled/Fried),Breakfast,110,,,,,,
,,Poha,Breakfast,130,,,,,,
,,Butter Toast,Breakfast,80,,,,,,
,,French Toast,Breakfast,110,,,,,,
,,Nutella Toast,Breakfast,150,,,,,,
,,Plain Maggie,Breakfast,80,,,,,,
,,Masala Maggie,Breakfast,100,,,,,,
,,Cheese Maggie,Breakfast,140,,,,,,
,,Veg Maggie,Breakfast,110,,,,,,
,,Egg Maggie,Breakfast,130,,,,,,
,*,Garlic bread,Breakfast,150,,,,,,
,,Aloo Paratha,Breakfast,100,,,,,,
,,Pyaz Paratha,Breakfast,100,,,,,,
,,Gobhi Paratha,Breakfast,130,,,,,,
,,Egg Paratha,Breakfast,130,,,,,,
,,Panner Paratha,Breakfast,160,,,,,,
,,Poori Bhaji,Breakfast,180,,,,,,
,,Hash Potatoes w/Toast and Coffee/Tea,Breakfast,250,,,,,,
,*,Full English Breakfast,Breakfast,400,,,,,,
,,Peanut Masala,Appetizers,140,,,,,,
,,Veg Pakoda,Appetizers,190,,,,,,
,,Paneer Pakoda,Appetizers,340,,,,,,
,,Chilli Paneer,Appetizers,350,,,,,,
,,Cheese Nachoes,Appetizers,190,,,,,,
,,Chilli Chicken,Appetizers,410,,,,,,
,,Chicken 65,Appetizers,420,,,,,,
,,Garlic Chicken,Appetizers,410,,,,,,
,,Pepper Chicken,Appetizers,440,,,,,,
,,Chicken Pakoda,Appetizers,440,,,,,,
,,Chicken Nuggets,Appetizers,270,,,,,,
,*,BBQ Wings,Appetizers,450,,,,,,
,,French Fries,Appetizers,150,,,,,,
,,Piri Piri French Fries,Appetizers,180,,,,,,
,,Cheese French Fries,Appetizers,200,,,,,,
,,Potato Wedges,Appetizers,190,,,,,,
,,Chilli Potatoes,Appetizers,280,,,,,,
,,Honey Chilli Potato,Appetizers,290,,,,,,
,,Masala Papad,Appetizers,130,,,,,,
,,Veg Momos (Steamed),Appetizers,150,,,,,,
,,Chicken Momos (Steamed),Appetizers,200,,,,,,
,,Veg Club Sandwich,Sandwich,200,,,,,,
,,Veg Cheese Grilled Sandwich,Sandwich,220,,,,,,
,,Chicken Club Sandwich,Sandwich,280,,,,,,
,,Bombay Sandwich,Sandwich,200,,,,,,
,,Chilli Cheese Toast,Sandwich,110,,,,,,
,*,Paneer Tikka Sandwich,Sandwich,240,,,,,,
,,Peri Peri Chicken Sandwich,Sandwich,290,,,,,,
,,Grilled Chicken Sandwich,Sandwich,280,,,,,,
,*,Garlic Chicken Mayo Sandwich,Sandwich,290,,,,,,
,,Dal Fry,Main Course (Veg),170,,,,,,
,,Dal Tadka,Main Course (Veg),190,,,,,,
,,Dal Makkani,Main Course (Veg),220,,,,,,
,,Rajma,Main Course (Veg),200,,,,,,
,,Dum Aloo,Main Course (Veg),180,,,,,,
,,Aloo Mattar,Main Course (Veg),190,,,,,,
,,Aloo Gobhi,Main Course (Veg),190,,,,,,
,,Aloo Jeera,Main Course (Veg),180,,,,,,
,,Mixed veg,Main Course (Veg),220,,,,,,
,,Kadai Paneer,Main Course (Veg),290,,,,,,
,,Mattar Paneer,Main Course (Veg),290,,,,,,
,,Panner Butter Masala,Main Course (Veg),300,,,,,,
,,Kaju Paneer,Main Course (Veg),340,,,,,,
,,Kadai Chicken,Main Course (Non Veg),460,,,,,,
,,Chicken Curry,Main Course (Non Veg),460,,,,,,
,,Rara Chicken,Main Course (Non Veg),480,,,,,,
,,Butter Chicken,Main Course (Non Veg),520,,,,,,
,,Mughlai Chicken,Main Course (Non Veg),540,,,,,,
,,Kaju Chicken,Main Course (Non Veg),550,,,,,,
,,Egg Curry,Main Course (Non Veg),200,,,,,,
,,Egg Burji,Main Course (Non Veg),180,,,,,,
,,Tawa Roti,Roti,20,,,,,,
,,Ghee Roti,Roti,30,,,,,,
,,Butter Roti,Roti,25,,,,,,
,,Plain Rice,Rice and Noodles,120,,,,,,
,,Jeera Rice,Rice and Noodles,150,,,,,,
,,Veg Fried Rice,Rice and Noodles,180,,,,,,
,,Egg Fried Rice,Rice and Noodles,200,,,,,,
,,Chicken Fried Rice,Rice and Noodles,220,,,,,,
,,Veg Noodles,Rice and Noodles,180,,,,,,
,,Egg Noodles,Rice and Noodles,200,,,,,,
,,Chicken Noodles,Rice and Noodles,220,,,,,,
,,Idli (2 Pcs),South Indian,100,,,,,,
,,Dosa,South Indian,150,,,,,,
,,Onion Dosa,South Indian,170,,,,,,
,,Masala Dosa,South Indian,180,,,,,,
,,Egg Dosa,South Indian,200,,,,,,
,,Paneer Dosa,South Indian,230,,,,,,
,,Cheese Dosa,South Indian,220,,,,,,
,,Chocolate Dosa,South Indian,250,,,,,,
,,Uthappam ,South Indian,150,,,,,,
,,Mysore Bonda,South Indian,100,,,,,,
,,Medu Vada,South Indian,130,,,,,,
,,Ponganalu (6 Pcs),South Indian,120,,,,,,
,,Upma Suji,South Indian,120,,,,,,
,,Upma Broken Rice,South Indian,130,,,,,,
,,Vermecelli Upma,South Indian,150,,,,,,
,,Lemon Rice,South Indian,200,,,,,,
,,Tamarind Rice (Pulihora),South Indian,190,,,,,,
,*,Mango Dal,South Indian,210,,,,,,
,,Curd Rice,South Indian,180,,,,,,
,,Sambar Rice,South Indian,260,,,,,,
,,Rasam Rice,South Indian,210,,,,,,
,,Dal rasam Rice,South Indian,220,,,,,,
,,Aloo Fry,South Indian,200,,,,,,
,,Punugulu Curry,South Indian,250,,,,,,
,*,Guttu Vankay,South Indian,240,,,,,,
,,Kaju Chicken Pakodi,South Indian,450,,,,,,
,,Andhra Chicken Fry,South Indian,460,,,,,,
,,Bagara Rice & Chicken Curry,Biryanis,380,,,,,,
,,Bagara Rice & Chicken Fry,Biryanis,380,,,,,,
,,Bagara Rice & Aloo Fry,Biryanis,290,,,,,,
,,Chicken Dum Biryani,Biryanis,440,,,,,,
,,Mutton Dum Biryani,Biryanis,540,,,,,,
,,Andhra Chicken Biryani,Biryanis,350,,,,,,
,,Veg Pulao,Biryanis,240,,,,,,
,,Hummus with Pita Bread,Israeli,310,,,,,,
,,Chicken Snitzel,Israeli,420,,,,,,
,,Falalfel,Israeli,320,,,,,,
,,Shakshuka,Israeli,290,,,,,,
,,Plain Mayo,Extras,20,,,,,,
,,Extra Cheese,Extras,25,,,,,,
,,Bbq Dip,Extras,30,,,,,,
,,Thousand Island,Extras,30,,,,,,
,,Chipotle Southwest,Extras,30,,,,,,
,,Mint Mayo,Extras,30,,,,,,
,,Peri Peri Sauce,Extras,30,,,,,,
,,Sweet Chilli,Extras,30,,,,,,
,,Siracha,Extras,30,,,,,,
,,Dahi,Extras,30,,,,,,
,,Sambar,Extras,50,,,,,,
,,Chutney,Extras,30,,,,,,
,,Ghee Bobattu (2 Pieces),Dessert,150,,,,,,
,,Semiya Payasam (Verimiceli Keer),Dessert,220,,,,,,
,,Gulab Jamun (3 Pieces),Dessert,180,,,,,,
