Item,Category,Price
Milk Tea,Beverages,50.0
Black Tea,Beverages,40.0
Lemon Tea,Beverages,70.0
Ginger Lemon Honey,Beverages,100.0
Mint Tea,Beverages,50.0
Milk Coffee,Beverages,70.0
Black Coffee,Beverages,50.0
Cold Coffee,Beverages,130.0
Frappe,Beverages,190.0
Sweet/Salted Lassi,Beverages,100.0
Lemon Water,Beverages,70.0
Lemon Soda,Beverages,100.0
Lemonade,Beverages,80.0
Kokum Sharbat,Beverages,180.0
Strawberry Mocktail,Beverages,190.0
Blueberry Mocktail,Beverages,190.0
Mango Mocktail,Beverages,190.0
Banana Shake,Beverages,130.0
Oreo Shake,Beverages,200.0
Kitkat Shake,Beverages,200.0
Club Soda,Beverages,30.0
Soft Drink 750 ML,Beverages,60.0
Water Bottle 1L,Beverages,30.0
Tomato Soup,Soups,150.0
Veg Manchow Soup,Soups,150.0
Cream of Mushroom,Soups,180.0
Sweet Corn,Soups,150.0
Veg Clear soup,Soups,160.0
Chicken Clear Soup,Soups,220.0
Chicken Manchow Soup,Soups,230.0
Masala Omlet,Breakfast,90.0
Bread Omlet,Breakfast,100.0
Mushroom Omlette,Breakfast,160.0
Cheese Omlet,Breakfast,150.0
Eggs (Boiled/Scrambled/Fried),Breakfast,110.0
Poha,Breakfast,130.0
Butter Toast,Breakfast,80.0
French Toast,Breakfast,110.0
Nutella Toast,Breakfast,150.0
Plain Maggie,Breakfast,80.0
Masala Maggie,Breakfast,100.0
Cheese Maggie,Breakfast,140.0
Veg Maggie,Breakfast,110.0
Egg Maggie,Breakfast,130.0
Garlic bread,Breakfast,150.0
Aloo Paratha,Breakfast,100.0
Pyaz Paratha,Breakfast,100.0
Gobhi Paratha,Breakfast,130.0
Egg Paratha,Breakfast,130.0
Panner Paratha,Breakfast,160.0
Poori Bhaji,Breakfast,180.0
Hash Potatoes w/Toast and Coffee/Tea,Breakfast,250.0
Full English Breakfast,Breakfast,400.0
Peanut Masala,Appetizers,140.0
Veg Pakoda,Appetizers,190.0
Paneer Pakoda,Appetizers,340.0
Chilli Paneer,Appetizers,350.0
Cheese Nachoes,Appetizers,190.0
Chilli Chicken,Appetizers,410.0
Chicken 65,Appetizers,420.0
Garlic Chicken,Appetizers,410.0
Pepper Chicken,Appetizers,440.0
Chicken Pakoda,Appetizers,440.0
Chicken Nuggets,Appetizers,270.0
BBQ Wings,Appetizers,450.0
French Fries,Appetizers,150.0
Piri Piri French Fries,Appetizers,180.0
Cheese French Fries,Appetizers,200.0
Potato Wedges,Appetizers,190.0
Chilli Potatoes,Appetizers,280.0
Honey Chilli Potato,Appetizers,290.0
Masala Papad,Appetizers,130.0
